smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
NC(=O)Cc1cc(Cc2ccccn2)ccc1Cc1ccccn1,-9.9942,-6.9142,3.08,-0.546,xtb_success
NC(=O)Cc1ccnc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)c1,-10.0407,-7.4065,2.6342,-0.529,xtb_success
NC(=O)Cc1ccc(-c2cc(-c3nc(CC(N)=O)cs3)ccn2)cc1,-10.2012,-8.0451,2.1561,-0.532,xtb_success
C#CCc1ccnc(-c2cc(-c3cc(CC(N)=O)ccn3)ccn2)c1,-9.9783,-7.6234,2.3548,-0.527,xtb_success
COCCc1cccc(CCc2cccc(COC)c2OC)c1OC,-10.5712,-6.25,4.3212,-0.35,xtb_success
COCc1ccc(Cc2ccc(C(=O)C3CC[NH+](C)CC3)cc2)cc1,-7.7497,-5.9477,1.802,-0.428,xtb_success
COc1ccc(-c2cncnc2)cc1C(=O)c1ccc(F)c(F)c1,-10.2012,-8.2963,1.9049,-0.415,xtb_success
COCCCc1ccc(CCc2ccc(COC)cc2)cc1,-10.3743,-6.1268,4.2475,-0.352,xtb_success
COc1ccc(Cc2cc(C(CC(N)=O)CC(N)=O)ccn2)cc1F,-10.0466,-6.7651,3.2815,-0.534,xtb_success
COc1ccc(Cc2ccc(-c3nc(OC)cs3)cc2)cc1,-10.1157,-7.6227,2.493,-0.309,xtb_success
CCCn1nc(CCOC)cc1Cc1ccc(Cl)c(Cl)c1,-10.3348,-6.722,3.6128,-0.348,xtb_success
COCC(=O)C1CCN(C(=O)N2CCN(C3CCN(C(=O)OC)CC3)CC2)CC1,-9.5196,-7.3363,2.1833,-0.577,xtb_success
CCn1c(C)cc(Cc2cc(Cl)c(OC)c([C@@H](C)O)c2)c1C,-9.2884,-6.4444,2.844,-0.505,xtb_success
CO[C@H](C)CNC(=O)c1ccc(-c2cc(S(C)(=O)=O)[nH]n2)cc1,-10.6973,-7.3737,3.3236,-0.641,xtb_success
O=C(c1ccc(CCC2(O)CCCCC2)o1)N1CCn2cnnc2C1,-10.3896,-7.2368,3.1528,-0.534,xtb_success
CC[C@@H](NC(=O)c1cc(=O)c2ccccc2o1)c1ccc(C)cc1,-10.6364,-8.3047,2.3317,-0.505,xtb_success
NC(=O)Cc1ccnc(-c2ccc(-c3ccnc(CC(N)=O)c3)cc2)c1,-10.0851,-7.4661,2.619,-0.539,xtb_success
CCN(Cc1ccc(-c2nccn2C)cc1)C1CCS(=O)(=O)CC1,-9.4579,-6.437,3.0209,-0.65,xtb_success
COCCc1cc(CCc2ccc(C(C)(C)C)cc2)ccn1,-9.9337,-6.5416,3.3921,-0.35,xtb_success
COCc1cc(Cc2ccc(Cc3cc(OC)ccn3)cc2)cc(OC)c1,-10.0632,-6.4183,3.6449,-0.347,xtb_success
Cc1ccc(N2CCC(C(=O)Nc3cscn3)CC2)cc1Br,-9.5895,-7.3011,2.2883,-0.488,xtb_success
O=C(NCc1ccccc1)[C@H]1CCCN(C(=O)C(=O)N2CCN(C3CCCCC3)CC2)C1,-9.5589,-6.7534,2.8055,-0.526,xtb_success
Clc1ccc(-c2ccnc(C3=[NH+]CCCS3)c2)cc1Cl,-7.9175,-7.1111,0.8065,-0.312,xtb_success
COCCc1cccc(Cc2cccc(COC)c2OC)c1OC,-10.6787,-6.2657,4.413,-0.353,xtb_success
O=C(c1ccc(F)cc1)c1ccc([C@@H]2CCS(=O)(=O)C2)cc1,-10.9354,-8.1192,2.8162,-0.647,xtb_success
COCc1ccc(Cc2ccc(CCOC(C)C)cc2)cc1,-10.4589,-6.1164,4.3425,-0.359,xtb_success
NC(=O)CN(CCc1ccc(CC2(O)CCCCC2)cc1)C1CCCCC1,-9.5395,-5.7992,3.7403,-0.544,xtb_success
COc1ccc(CC(=O)N(C)C2CC[NH+](c3ccccc3)CC2)cc1,-6.6512,-5.8845,0.7667,-0.477,xtb_success
COCCN(C)C(=O)c1cc(C(=O)OCCc2cc(C)ccc2C)ccc1F,-10.3322,-7.9242,2.408,-0.529,xtb_success
COCc1ccc(-c2nc(-c3nc(OC)cs3)cs2)cc1,-10.2639,-7.9262,2.3377,-0.346,xtb_success
CCN(Cc1ccc(-c2nccn2C)cc1)c1ccc2c(c1)C(=O)NC2=O,-9.9298,-8.3177,1.6121,-0.472,xtb_success
CC(C)S(=O)(=O)Cc1ccc(Cc2ccc(CS(=O)(=O)C(C)C)cc2)cc1,-10.6119,-6.5292,4.0828,-0.649,xtb_success
CN(C)c1cccc(C(=O)c2ccc(CN3CCN(CCC4(O)CCCCC4)CC3)cc2)c1,-9.3661,-7.737,1.629,-0.507,xtb_success
